City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cabo San Lucas,22.89,-109.91,84.99,78,5,8.05,MX,1599279129
Rivadavia,-33.19,-68.46,51.8,40,0,8.05,AR,1599279495
Saint-Philippe,-21.36,55.77,64.4,88,75,9.17,RE,1599279000
Hilo,19.73,-155.09,82.4,58,90,9.17,US,1599279496
Pevek,69.7,170.31,36.16,83,95,1.77,RU,1599278979
Tiznit Province,29.58,-9.5,75.58,54,0,1.45,MA,1599279496
Mataura,-46.19,168.86,57.51,52,85,5.14,NZ,1599279497
Ribeira Grande,38.52,-28.7,69.91,75,11,21.68,PT,1599279497
Vestmannaeyjar,63.44,-20.27,43.97,64,76,18.05,IS,1599279209
São João da Barra,-21.64,-41.05,71.33,84,1,7.72,BR,1599279010
Dali,25.7,100.18,74.88,58,98,4.94,CN,1599279498
Kudahuvadhoo,2.67,72.89,82.29,77,96,17.07,MV,1599278917
Nelson,-41.28,173.28,60.01,69,89,1.01,NZ,1599279499
Rikitea,-23.12,-134.97,71.6,85,97,13.2,PF,1599279370
Dikson,73.51,80.55,41.77,89,75,16.35,RU,1599279374
Bethel,41.37,-73.41,63.0,87,1,4.7,US,1599279439
Prince Rupert,54.32,-130.32,57.2,93,90,2.24,CA,1599279500
Khilok,51.37,110.47,69.57,53,95,1.79,RU,1599279501
Half Moon Bay,37.46,-122.43,71.01,82,90,3.36,US,1599279143
Tuatapere,-46.13,167.68,56.86,56,95,3.69,NZ,1599279501
San Cristobal,7.77,-72.22,80.6,78,40,3.36,VE,1599278940
Jamestown,42.1,-79.24,55.4,76,20,5.82,US,1599279453
Ponta do Sol,32.67,-17.1,73.4,69,40,6.93,PT,1599279502
Ţahţā,26.77,31.5,82.4,48,47,5.82,EG,1599279503
Butaritari,3.07,172.79,83.48,72,68,10.6,KI,1599279309
Yizheng,24.67,103.43,77.0,84,71,7.7,CN,1599279503
Norman Wells,65.28,-126.83,48.2,87,75,2.24,CA,1599279504
Sos'va,59.18,61.86,48.22,85,2,4.97,RU,1599279504
Najrān,17.49,44.13,71.6,33,0,4.34,SA,1599279273
Grand Gaube,-20.01,57.66,71.01,68,5,5.99,MU,1599279311
Puerto Baquerizo Moreno,-0.9,-89.6,66.52,89,75,12.28,EC,1599279505
Savonlinna,61.87,28.88,59.0,87,75,10.29,FI,1599279505
Cape Town,-33.93,18.42,57.0,93,75,6.93,ZA,1599279272
Fort Myers Beach,26.45,-81.95,84.99,78,1,5.82,US,1599279253
Busselton,-33.65,115.33,64.99,77,96,10.0,AU,1599279506
Bambous Virieux,-20.34,57.76,71.01,77,75,17.22,MU,1599279506
Punta Arenas,-53.15,-70.92,37.4,86,100,8.05,CL,1599279507
Ahipara,-35.17,173.17,56.64,64,84,8.61,NZ,1599278956
Atuona,-9.8,-139.03,78.94,74,5,21.77,PF,1599279508
Iskateley,67.68,53.15,51.94,75,51,14.88,RU,1599279128
Ylivieska,64.08,24.55,57.99,96,97,5.01,FI,1599279508
Kapaa,22.08,-159.32,84.2,62,90,11.41,US,1599279377
Barrow,71.29,-156.79,39.2,86,90,3.36,US,1599279301
Roald,62.58,6.13,53.6,76,100,12.75,NO,1599279262
Kaitangata,-46.28,169.85,55.0,70,67,10.0,NZ,1599279509
Alaşehir,38.35,28.52,63.12,80,0,4.92,TR,1599279510
Pitimbu,-7.47,-34.81,71.6,94,75,6.93,BR,1599279307
Bredasdorp,-34.53,20.04,53.6,81,71,6.93,ZA,1599279510
Ayr,55.46,-4.63,53.6,81,20,16.11,GB,1599279374
Ostrovnoy,68.05,39.51,56.01,86,32,22.75,RU,1599279511
Forsytheganj,52.63,29.73,52.56,90,0,2.48,BY,1599279422
Sabzawār,36.21,57.68,75.38,19,0,4.38,IR,1599278936
Ihosy,-22.4,46.12,53.38,82,71,16.17,MG,1599279512
Ushuaia,-54.8,-68.3,37.4,88,75,4.68,AR,1599279395
Bluff,-46.6,168.33,53.19,72,90,10.89,NZ,1599279513
Hobart,-42.88,147.33,60.01,38,75,13.87,AU,1599279333
Jardim,-21.48,-56.14,74.05,45,0,5.03,BR,1599279280
Port Alfred,-33.59,26.89,61.95,80,3,18.59,ZA,1599279514
Kruisfontein,-34.0,24.73,55.0,74,35,7.38,ZA,1599279514
Puerto Ayora,-0.74,-90.35,66.99,89,82,3.0,EC,1599279145
Maceió,-9.67,-35.74,71.6,88,40,2.24,BR,1599278999
Phayao,19.25,100.25,89.69,54,98,3.38,TH,1599279515
Bouna,9.27,-3.0,70.61,96,99,8.52,CI,1599279515
Hithadhoo,-0.6,73.08,82.31,77,2,15.93,MV,1599279515
Vila Franca do Campo,37.72,-25.43,68.0,94,75,17.22,PT,1599279516
Souillac,-20.52,57.52,69.8,77,75,17.22,MU,1599279412
Bermeo,43.42,-2.72,69.01,88,75,2.24,ES,1599279516
Yaypan,40.38,70.82,81.99,21,0,4.09,UZ,1599279517
Narsaq,60.92,-46.05,46.4,81,75,1.12,GL,1599279308
Albany,42.6,-73.97,57.0,99,0,4.92,US,1599279380
Chokurdakh,70.63,147.92,48.52,51,0,17.4,RU,1599279163
Chapleau,47.84,-83.4,46.18,86,5,7.99,CA,1599279518
Curuçá,-0.73,-47.85,74.73,93,18,4.94,BR,1599279519
Sitka,57.05,-135.33,57.2,71,75,8.05,US,1599279441
Gnjilane,42.46,21.47,50.0,87,0,2.77,XK,1599279519
Tuktoyaktuk,69.45,-133.04,37.4,86,75,13.87,CA,1599279519
Vila Velha,-20.33,-40.29,73.4,73,0,5.82,BR,1599279334
Saskylakh,71.92,114.08,42.12,90,100,16.46,RU,1599279520
Mount Isa,-20.73,139.5,89.6,17,14,11.41,AU,1599279521
Lubango,-14.92,13.49,61.83,45,10,6.11,AO,1599279521
Yellowknife,62.46,-114.35,46.99,87,20,2.53,CA,1599279521
Monster,52.03,4.17,59.0,82,100,7.0,NL,1599279467
Rovenki,48.08,39.38,64.42,35,100,15.88,UA,1599279522
Verkh-Usugli,52.7,115.17,55.27,82,100,7.49,RU,1599279126
Shache,38.42,77.24,80.56,17,83,11.45,CN,1599279523
